date;weekly average date -6 months;weekly average date -5 months;weekly average date -4 months;weekly average date -3 months;weekly average date -2 months;weekly average date -1 months;;6 months average;;Balance
2021-07-01;-10471;-5967;-16152;-8306;-13764;-11419;;-11013;;5786085
2021-07-01;-10471;-5967;-16152;-8306;-13764;-11419;;-11013;;5775072
2021-07-02;-8939;-5468;-16868;-1790;-16277;-11419;;-10127;;5759745
2021-07-03;-9391;-6471;-16868;-12300;-14940;-11419;;-11898;;5895494
2021-07-04;-8062;-6471;-16868;-11599;-14216;-6088;;-10551;;5884943
2021-07-05;-8831;-6808;-35080;-11900;-14046;-8157;;-14137;;5870806
2021-07-06;-12633;-6550;-36552;-13572;-14046;-8697;;-15342;;5855464
2021-07-07;-12633;-9165;-27969;-13572;-8154;-9781;;-13546;;5779918
2021-07-08;-9545;-10386;-29799;-13572;-9438;-8423;;-13527;;5685035
2021-07-09;-15002;-12606;-30847;-16543;-7071;-8423;;-15082;;5669953
2021-07-10;-14064;-12606;-30847;-21632;-7645;-8423;;-15869;;6363634
2021-07-11;-15467;-12606;-30847;-21849;-5963;-11612;;-16391;;6347243
2021-07-12;-14858;-13332;-7723;-22729;-5963;-9970;;-12429;;6334814
2021-07-13;-11056;-13548;-12805;-22598;-5963;-9685;;-12609;;6285243
2021-07-14;-11056;-10951;-12937;-22598;-15256;-8693;;-13582;;6209661
2021-07-15;-13003;-11758;-11169;-22598;-13727;-10480;;-13789;;6195872
2021-07-16;-10110;-10152;-9444;-24615;-14115;-10480;;-13153;;6182719
2021-07-17;-10447;-10152;-9444;-10097;-12309;-10480;;-10488;;6172231
2021-07-18;-11320;-10152;-9444;-10097;-13473;-9018;;-10584;;6161647
2021-07-19;-11477;-10902;-13170;-9217;-13473;-9009;;-11208;;6150439
2021-07-20;-11477;-11544;-6936;-11118;-13473;-10225;;-10795;;5870644
2021-07-21;-11477;-12887;-8592;-11118;-2882;-10043;;-9500;;5799144
2021-07-22;-8993;-13960;-7672;-11118;-11089;-8537;;-10228;;5788916
2021-07-23;-10096;-13239;-8626;-10810;-11415;-10125;;-10718;;5778198
2021-07-24;-11381;-13239;-8626;-9524;-11411;-11497;;-10946;;5747252
2021-07-25;-8437;-13239;-8626;-9536;-11769;-9739;;-10224;;5737028
2021-07-26;-9003;-12804;-11415;-11794;-11769;-9913;;-11116;;5725912
2021-06-27;-3534;-8000;-11776;-11496;-11029;-11769;;-9601;;5716311
2021-06-28;-5531;-8000;-18164;-10032;-11199;-18839;;-11961;;5606350
2021-06-29;-5685;-7482;-18164;-9730;-11199;-11282;;-10590;;5595760
2021-06-30;-5685;-6040;-18164;-8306;-13710;-10097;;-10334;;5585426
