date;weekly average date -6 months;weekly average date -5 months;weekly average date -4 months;weekly average date -3 months;weekly average date -2 months;weekly average date -1 months;;6 months average;;Balance
2016-10-23;-5432;-5072;-4691;-8708;-7973;-6231;;-6351;;1437838
2016-10-24;-5250;-5651;-8018;-7730;-7973;-6008;;-6772;;1431066
2016-10-25;-5881;-5651;-7582;-7296;-7973;-6365;;-6791;;1424275
2016-10-26;-5670;-5651;-8831;-8353;-5166;-6878;;-6758;;1427308
2016-10-27;-5670;-6691;-9187;-6067;-4002;-5015;;-6105;;1416699
2016-10-28;-5764;-7309;-8047;-6067;-5741;-5175;;-6350;;1410189
2016-10-29;-5753;-6144;-8333;-4030;-6199;-5318;;-5963;;1397826
2016-10-30;-7193;-7416;-8619;-3936;-4715;-7250;;-6521;;1388325
2016-10-31;-7193;-7011;-8619;-4763;-5001;-7250;;-6639;;1381686
2016-11-01;-5914;-7011;-5105;-4485;-5715;-7542;;-5962;;1375724
2016-11-02;-5893;-7011;-5021;-5196;-5913;-6487;;-5920;;1480487
2016-11-03;-5475;-8152;-3001;-5196;-7057;-5977;;-5810;;1482657
2016-11-04;-5475;-7658;-2978;-5196;-5214;-8292;;-5802;;1446855
2016-11-05;-5381;-7492;-3560;-8254;-3205;-8132;;-6004;;1428851
2016-11-06;-4873;-8190;-3275;-8560;-3670;-8132;;-6117;;1333646
2016-11-07;-3042;-7646;-2989;-7764;-3384;-6799;;-5271;;1328375
2016-11-08;-3737;-7646;-5589;-8295;-2670;-5698;;-5606;;1322769
2016-11-09;-3378;-7646;-5829;-8263;-4630;-6013;;-5960;;1326163
2016-11-10;-3286;-7548;-6794;-8263;-4555;-6147;;-6099;;1609946
2016-11-11;-3286;-7250;-6063;-8263;-5703;-3978;;-5757;;1604189
2016-11-12;-3286;-7799;-6802;-4590;-6557;-4348;;-5564;;1598625
2016-11-13;-1109;-6423;-6802;-4984;-6599;-4348;;-5044;;1590601
2016-11-14;-4113;-6592;-6802;-5189;-6670;-4519;;-5647;;1584954
2016-11-15;-5910;-6592;-5637;-6089;-6670;-7838;;-6456;;1578498
2016-11-16;-6463;-6592;-6013;-5007;-5809;-8793;;-6446;;1541512
2016-11-17;-6833;-3500;-6063;-5007;-6648;-9119;;-6195;;1559317
2016-10-18;-6611;-6833;-3948;-7485;-5007;-6247;;-6022;;1553295
2016-10-19;-5813;-6833;-4174;-5896;-8757;-6825;;-6383;;1539912
2016-10-20;-5813;-9156;-3248;-8181;-8493;-8682;;-7262;;1529670
2016-10-21;-5813;-6542;-4691;-8181;-8501;-8610;;-7056;;1522614
2016-10-22;-6777;-5732;-4691;-9285;-7268;-8467;;-7037;;1515577
2016-10-23;-5432;-5072;-4691;-8708;-7973;-6231;;-6351;;1500246
2016-10-24;-5250;-5651;-8018;-7730;-7973;-6008;;-6772;;1470474
2016-10-25;-5881;-5651;-7582;-7296;-7973;-6365;;-6791;;1463683
2016-10-26;-5670;-5651;-8831;-8353;-5166;-6878;;-6758;;1452932
2016-10-27;-5670;-6691;-9187;-6067;-4002;-5015;;-6105;;1443687
2016-10-28;-5764;-7309;-8047;-6067;-5741;-5175;;-6350;;1437337
2016-10-29;-5753;-6144;-8333;-4030;-6199;-5318;;-5963;;1431374
2016-10-30;-7193;-7416;-8619;-3936;-4715;-7250;;-6521;;1415473
2016-10-31;-7193;-7011;-8619;-4763;-5001;-7250;;-6639;;1404834
2016-11-01;-5914;-7011;-5105;-4485;-5715;-7542;;-5962;;1512535
2016-11-02;-5893;-7011;-5021;-5196;-5913;-6487;;-5920;;1533215
2016-11-03;-5475;-8152;-3001;-5196;-7057;-5977;;-5810;;1524425
2016-11-04;-5475;-7658;-2978;-5196;-5214;-8292;;-5802;;1518623
2016-11-05;-5381;-7492;-3560;-8254;-3205;-8132;;-6004;;1512619
2016-11-06;-4873;-8190;-3275;-8560;-3670;-8132;;-6117;;1493402
2016-11-07;-3042;-7646;-2989;-7764;-3384;-6799;;-5271;;1393523
2016-11-08;-3737;-7646;-5589;-8295;-2670;-5698;;-5606;;1407031
2016-11-09;-3378;-7646;-5829;-8263;-4630;-6013;;-5960;;1722703
2016-11-10;-3286;-7548;-6794;-8263;-4555;-6147;;-6099;;1703024
2016-11-11;-3286;-7250;-6063;-8263;-5703;-3978;;-5757;;1697267
2016-11-12;-3286;-7799;-6802;-4590;-6557;-4348;;-5564;;1691703
2016-11-13;-1109;-6423;-6802;-4984;-6599;-4348;;-5044;;1663529
2016-11-14;-4113;-6592;-6802;-5189;-6670;-4519;;-5647;;1653882
2016-11-15;-5910;-6592;-5637;-6089;-6670;-7838;;-6456;;1647426
2016-11-16;-6463;-6592;-6013;-5007;-5809;-8793;;-6446;;1601420
2016-11-17;-6833;-3500;-6063;-5007;-6648;-9119;;-6195;;1613245
2016-10-18;-6611;-6833;-3948;-7485;-5007;-6247;;-6022;;1607223
2016-10-19;-5813;-6833;-4174;-5896;-8757;-6825;;-6383;;1600840
2016-10-20;-5813;-9156;-3248;-8181;-8493;-8682;;-7262;;1584598
2016-10-21;-5813;-6542;-4691;-8181;-8501;-8610;;-7056;;1554542
2016-10-22;-6777;-5732;-4691;-9285;-7268;-8467;;-7037;;1547001
2016-10-23;-5432;-5072;-4691;-8708;-7973;-6231;;-6351;;1535090
2016-10-24;-5250;-5651;-8018;-7730;-7973;-6008;;-6772;;1539789
2016-10-25;-5881;-5651;-7582;-7296;-7973;-6365;;-6791;;1532998
2016-10-26;-5670;-5651;-8831;-8353;-5166;-6878;;-6758;;1526240
2016-10-27;-5670;-6691;-9187;-6067;-4002;-5015;;-6105;;1516155
2016-10-28;-5764;-7309;-8047;-6067;-5741;-5175;;-6350;;1505805
2016-11-01;-5914;-7011;-5105;-4485;-5715;-7542;;-5962;;1613506
2016-11-02;-5893;-7011;-5021;-5196;-5913;-6487;;-5920;;1634186
2016-11-03;-5475;-8152;-3001;-5196;-7057;-5977;;-5810;;1625396
2016-11-04;-5475;-7658;-2978;-5196;-5214;-8292;;-5802;;1619594
2016-11-05;-5381;-7492;-3560;-8254;-3205;-8132;;-6004;;1613590
2016-11-06;-4873;-8190;-3275;-8560;-3670;-8132;;-6117;;1594373
2016-11-07;-3042;-7646;-2989;-7764;-3384;-6799;;-5271;;1494494
2016-11-08;-3737;-7646;-5589;-8295;-2670;-5698;;-5606;;1501589
2016-11-09;-3378;-7646;-5829;-8263;-4630;-6013;;-5960;;1805261
2016-11-10;-3286;-7548;-6794;-8263;-4555;-6147;;-6099;;1785582
2016-11-11;-3286;-7250;-6063;-8263;-5703;-3978;;-5757;;1779825
2016-11-12;-3286;-7799;-6802;-4590;-6557;-4348;;-5564;;1774261
2016-11-13;-1109;-6423;-6802;-4984;-6599;-4348;;-5044;;1746087
2016-11-14;-4113;-6592;-6802;-5189;-6670;-4519;;-5647;;1736440
2016-11-15;-5910;-6592;-5637;-6089;-6670;-7838;;-6456;;1729984
2016-11-16;-6463;-6592;-6013;-5007;-5809;-8793;;-6446;;1695978
2016-11-17;-6833;-3500;-6063;-5007;-6648;-9119;;-6195;;1707803
2016-10-18;-6611;-6833;-3948;-7485;-5007;-6247;;-6022;;1701781
2016-10-19;-5813;-6833;-4174;-5896;-8757;-6825;;-6383;;1695398
2016-10-20;-5813;-9156;-3248;-8181;-8493;-8682;;-7262;;1679156
2016-10-21;-5813;-6542;-4691;-8181;-8501;-8610;;-7056;;1649100
2016-10-22;-6777;-5732;-4691;-9285;-7268;-8467;;-7037;;1642063
2016-10-23;-5432;-5072;-4691;-8708;-7973;-6231;;-6351;;1630152
2016-10-24;-5250;-5651;-8018;-7730;-7973;-6008;;-6772;;1634851
2016-10-25;-5881;-5651;-7582;-7296;-7973;-6365;;-6791;;1628060
2016-10-26;-5670;-5651;-8831;-8353;-5166;-6878;;-6758;;1621302
2016-10-27;-5670;-6691;-9187;-6067;-4002;-5015;;-6105;;1611217
2016-10-28;-5764;-7309;-8047;-6067;-5741;-5175;;-6350;;1600867
2016-10-29;-5753;-6144;-8333;-4030;-6199;-5318;;-5963;;1594904
2016-10-30;-7193;-7416;-8619;-3936;-4715;-7250;;-6521;;1576383
2016-10-31;-7193;-7011;-8619;-4763;-5001;-7250;;-6639;;1566764
2016-11-01;-5914;-7011;-5105;-4485;-5715;-7542;;-5962;;1560802
2016-11-02;-5893;-7011;-5021;-5196;-5913;-6487;;-5920;;1554882
2016-11-03;-5475;-8152;-3001;-5196;-7057;-5977;;-5810;;1659755
2016-11-04;-5475;-7658;-2978;-5196;-5214;-8292;;-5802;;1672053
2016-11-05;-5381;-7492;-3560;-8254;-3205;-8132;;-6004;;1666049
2016-11-06;-4873;-8190;-3275;-8560;-3670;-8132;;-6117;;1649812
2016-11-07;-3042;-7646;-2989;-7764;-3384;-6799;;-5271;;1555453
2016-11-08;-3737;-7646;-5589;-8295;-2670;-5698;;-5606;;1549847
2016-11-09;-3378;-7646;-5829;-8263;-4630;-6013;;-5960;;1543887
2016-11-10;-3286;-7548;-6794;-8263;-4555;-6147;;-6099;;1518072
2016-11-11;-3286;-7250;-6063;-8263;-5703;-3978;;-5757;;1832947
2016-11-12;-3286;-7799;-6802;-4590;-6557;-4348;;-5564;;1827383
2016-11-13;-1109;-6423;-6802;-4984;-6599;-4348;;-5044;;1794779
2016-11-14;-4113;-6592;-6802;-5189;-6670;-4519;;-5647;;1814152
2016-11-15;-5910;-6592;-5637;-6089;-6670;-7838;;-6456;;1807696
2016-11-16;-6463;-6592;-6013;-5007;-5809;-8793;;-6446;;1801250
2016-11-17;-6833;-3500;-6063;-5007;-6648;-9119;;-6195;;1786075
2016-10-18;-6611;-6833;-3948;-7485;-5007;-6247;;-6022;;1757053
2016-10-19;-5813;-6833;-4174;-5896;-8757;-6825;;-6383;;1743670
2016-10-20;-5813;-9156;-3248;-8181;-8493;-8682;;-7262;;1719008
2016-10-21;-5813;-6542;-4691;-8181;-8501;-8610;;-7056;;1708468
2016-10-22;-6777;-5732;-4691;-9285;-7268;-8467;;-7037;;1701431
2016-10-23;-5432;-5072;-4691;-8708;-7973;-6231;;-6351;;1695080
2016-10-24;-5250;-5651;-8018;-7730;-7973;-6008;;-6772;;1699619
2016-10-25;-5881;-5651;-7582;-7296;-7973;-6365;;-6791;;1688828
2016-10-26;-5670;-5651;-8831;-8353;-5166;-6878;;-6758;;1675626
2016-10-27;-5670;-6691;-9187;-6067;-4002;-5015;;-6105;;1668521
2016-10-28;-5764;-7309;-8047;-6067;-5741;-5175;;-6350;;1629191
2016-10-29;-5753;-6144;-8333;-4030;-6199;-5318;;-5963;;1623228
2016-10-30;-7193;-7416;-8619;-3936;-4715;-7250;;-6521;;1616707
2016-11-01;-5914;-7011;-5105;-4485;-5715;-7542;;-5962;;1730428
2016-11-02;-5893;-7011;-5021;-5196;-5913;-6487;;-5920;;1742608
2016-11-03;-5475;-8152;-3001;-5196;-7057;-5977;;-5810;;1727798
2016-11-04;-5475;-7658;-2978;-5196;-5214;-8292;;-5802;;1721996
2016-11-05;-5381;-7492;-3560;-8254;-3205;-8132;;-6004;;1702892
2016-11-06;-4873;-8190;-3275;-8560;-3670;-8132;;-6117;;1696775
2016-11-07;-3042;-7646;-2989;-7764;-3384;-6799;;-5271;;1691504
2016-11-08;-3737;-7646;-5589;-8295;-2670;-5698;;-5606;;1596810
2016-11-09;-3378;-7646;-5829;-8263;-4630;-6013;;-5960;;1581151
2016-11-10;-3286;-7548;-6794;-8263;-4555;-6147;;-6099;;1886084
2016-11-11;-3286;-7250;-6063;-8263;-5703;-3978;;-5757;;1868327
2016-11-12;-3286;-7799;-6802;-4590;-6557;-4348;;-5564;;1859783
2016-11-13;-1109;-6423;-6802;-4984;-6599;-4348;;-5044;;1854739
2016-11-14;-4113;-6592;-6802;-5189;-6670;-4519;;-5647;;1849092
2016-11-15;-5910;-6592;-5637;-6089;-6670;-7838;;-6456;;1812096
2016-11-16;-6463;-6592;-6013;-5007;-5809;-8793;;-6446;;1829650
2016-11-17;-6833;-3500;-6063;-5007;-6648;-9119;;-6195;;1823455
2016-10-18;-6611;-6833;-3948;-7485;-5007;-6247;;-6022;;1817433
2016-10-19;-5813;-6833;-4174;-5896;-8757;-6825;;-6383;;1801070
2016-10-20;-5813;-9156;-3248;-8181;-8493;-8682;;-7262;;1793808
2016-10-21;-5813;-6542;-4691;-8181;-8501;-8610;;-7056;;1786752
2016-10-22;-6777;-5732;-4691;-9285;-7268;-8467;;-7037;;1770735
2016-10-23;-5432;-5072;-4691;-8708;-7973;-6231;;-6351;;1741224
2016-10-24;-5250;-5651;-8018;-7730;-7973;-6008;;-6772;;1751466
2016-10-25;-5881;-5651;-7582;-7296;-7973;-6365;;-6791;;1739275
2016-10-26;-5670;-5651;-8831;-8353;-5166;-6878;;-6758;;1728537
2016-10-27;-5670;-6691;-9187;-6067;-4002;-5015;;-6105;;1722432
2016-10-28;-5764;-7309;-8047;-6067;-5741;-5175;;-6350;;1716082
2016-10-29;-5753;-6144;-8333;-4030;-6199;-5318;;-5963;;1707139
2016-10-30;-7193;-7416;-8619;-3936;-4715;-7250;;-6521;;1696618
2016-10-31;-7193;-7011;-8619;-4763;-5001;-7250;;-6639;;1689979
2016-11-01;-5914;-7011;-5105;-4485;-5715;-7542;;-5962;;1794680
2016-11-02;-5893;-7011;-5021;-5196;-5913;-6487;;-5920;;1803380
2016-11-03;-5475;-8152;-3001;-5196;-7057;-5977;;-5810;;1797570
2016-11-04;-5475;-7658;-2978;-5196;-5214;-8292;;-5802;;1791768
2016-11-05;-5381;-7492;-3560;-8254;-3205;-8132;;-6004;;1782784
2016-11-06;-4873;-8190;-3275;-8560;-3670;-8132;;-6117;;1768167
2016-11-07;-3042;-7646;-2989;-7764;-3384;-6799;;-5271;;1762896
2016-11-08;-3737;-7646;-5589;-8295;-2670;-5698;;-5606;;1687733
2016-11-09;-3378;-7646;-5829;-8263;-4630;-6013;;-5960;;1973155
2016-11-10;-3286;-7548;-6794;-8263;-4555;-6147;;-6099;;1967056
2016-11-11;-3286;-7250;-6063;-8263;-5703;-3978;;-5757;;1961299
2016-11-12;-3286;-7799;-6802;-4590;-6557;-4348;;-5564;;1939155
2016-11-13;-1109;-6423;-6802;-4984;-6599;-4348;;-5044;;1930111
2016-11-14;-4113;-6592;-6802;-5189;-6670;-4519;;-5647;;1924464
2016-11-15;-5910;-6592;-5637;-6089;-6670;-7838;;-6456;;1890448
2016-11-16;-6463;-6592;-6013;-5007;-5809;-8793;;-6446;;1909022
2016-11-17;-6833;-3500;-6063;-5007;-6648;-9119;;-6195;;1902827
2016-10-18;-6611;-6833;-3948;-7485;-5007;-6247;;-6022;;1896805
2016-10-19;-5813;-6833;-4174;-5896;-8757;-6825;;-6383;;1874442
2016-10-20;-5813;-9156;-3248;-8181;-8493;-8682;;-7262;;1844180
2016-10-21;-5813;-6542;-4691;-8181;-8501;-8610;;-7056;;1837124
2016-10-22;-6777;-5732;-4691;-9285;-7268;-8467;;-7037;;1812687
2016-10-23;-5432;-5072;-4691;-8708;-7973;-6231;;-6351;;1817303
2016-10-24;-5250;-5651;-8018;-7730;-7973;-6008;;-6772;;1810531
2016-10-25;-5881;-5651;-7582;-7296;-7973;-6365;;-6791;;1803740
2016-10-26;-5670;-5651;-8831;-8353;-5166;-6878;;-6758;;1793842
2016-10-27;-5670;-6691;-9187;-6067;-4002;-5015;;-6105;;1573737
2016-10-28;-5764;-7309;-8047;-6067;-5741;-5175;;-6350;;1567387
2016-10-29;-5753;-6144;-8333;-4030;-6199;-5318;;-5963;;1560424
2016-10-30;-7193;-7416;-8619;-3936;-4715;-7250;;-6521;;1550923
2016-11-01;-5914;-7011;-5105;-4485;-5715;-7542;;-5962;;1544961
2016-11-02;-5893;-7011;-5021;-5196;-5913;-6487;;-5920;;1539041
2016-11-03;-5475;-8152;-3001;-5196;-7057;-5977;;-5810;;1643914
2016-11-04;-5475;-7658;-2978;-5196;-5214;-8292;;-5802;;1660712
2016-11-05;-5381;-7492;-3560;-8254;-3205;-8132;;-6004;;1654708
2016-11-06;-4873;-8190;-3275;-8560;-3670;-8132;;-6117;;1648591
2016-11-07;-3042;-7646;-2989;-7764;-3384;-6799;;-5271;;1636220
2016-11-08;-3737;-7646;-5589;-8295;-2670;-5698;;-5606;;1630614
2016-11-09;-3378;-7646;-5829;-8263;-4630;-6013;;-5960;;1624654
2016-11-10;-3286;-7548;-6794;-8263;-4555;-6147;;-6099;;1843499
2016-11-11;-3286;-7250;-6063;-8263;-5703;-3978;;-5757;;1813592
2016-11-12;-3286;-7799;-6802;-4590;-6557;-4348;;-5564;;1808028
2016-11-13;-1109;-6423;-6802;-4984;-6599;-4348;;-5044;;1790984
2016-11-14;-4113;-6592;-6802;-5189;-6670;-4519;;-5647;;1782357
2016-11-15;-5910;-6592;-5637;-6089;-6670;-7838;;-6456;;1775901
2016-11-16;-6463;-6592;-6013;-5007;-5809;-8793;;-6446;;1769455
2016-11-17;-6833;-3500;-6063;-5007;-6648;-9119;;-6195;;1732720
2016-10-18;-6611;-6833;-3948;-7485;-5007;-6247;;-6022;;1750698
2016-10-19;-5813;-6833;-4174;-5896;-8757;-6825;;-6383;;1744315
2016-10-20;-5813;-9156;-3248;-8181;-8493;-8682;;-7262;;1730609
2016-10-21;-5813;-6542;-4691;-8181;-8501;-8610;;-7056;;1729573
2016-10-22;-6777;-5732;-4691;-9285;-7268;-8467;;-7037;;1722536
2016-10-23;-5432;-5072;-4691;-8708;-7973;-6231;;-6351;;1716185
2016-10-24;-5250;-5651;-8018;-7730;-7973;-6008;;-6772;;1700273
2016-10-25;-5881;-5651;-7582;-7296;-7973;-6365;;-6791;;1670482
2016-10-26;-5670;-5651;-8831;-8353;-5166;-6878;;-6758;;1663724
2016-10-27;-5670;-6691;-9187;-6067;-4002;-5015;;-6105;;1651219
2016-10-28;-5764;-7309;-8047;-6067;-5741;-5175;;-6350;;1641889
2016-10-29;-5753;-6144;-8333;-4030;-6199;-5318;;-5963;;1635926
2016-10-30;-7193;-7416;-8619;-3936;-4715;-7250;;-6521;;1629405
2016-10-31;-7193;-7011;-8619;-4763;-5001;-7250;;-6639;;1619786
2016-11-01;-5914;-7011;-5105;-4485;-5715;-7542;;-5962;;1754087
2016-11-02;-5893;-7011;-5021;-5196;-5913;-6487;;-5920;;1744167
2016-11-03;-5475;-8152;-3001;-5196;-7057;-5977;;-5810;;1726357
2016-11-04;-5475;-7658;-2978;-5196;-5214;-8292;;-5802;;1717575
2016-11-05;-5381;-7492;-3560;-8254;-3205;-8132;;-6004;;1711571
2016-11-06;-4873;-8190;-3275;-8560;-3670;-8132;;-6117;;1705454
2016-11-07;-3042;-7646;-2989;-7764;-3384;-6799;;-5271;;1693083
2016-11-08;-3737;-7646;-5589;-8295;-2670;-5698;;-5606;;1683477
2016-11-09;-3378;-7646;-5829;-8263;-4630;-6013;;-5960;;1677517
2016-11-10;-3286;-7548;-6794;-8263;-4555;-6147;;-6099;;1899342
2016-11-11;-3286;-7250;-6063;-8263;-5703;-3978;;-5757;;1870455
2016-11-12;-3286;-7799;-6802;-4590;-6557;-4348;;-5564;;1864891
2016-11-13;-1109;-6423;-6802;-4984;-6599;-4348;;-5044;;1859847
2016-11-14;-4113;-6592;-6802;-5189;-6670;-4519;;-5647;;1851220
2016-11-15;-5910;-6592;-5637;-6089;-6670;-7838;;-6456;;1840764
2016-11-16;-6463;-6592;-6013;-5007;-5809;-8793;;-6446;;1834318
2016-11-17;-6833;-3500;-6063;-5007;-6648;-9119;;-6195;;1800563
2016-10-18;-6611;-6833;-3948;-7485;-5007;-6247;;-6022;;1819561
2016-10-19;-5813;-6833;-4174;-5896;-8757;-6825;;-6383;;1813178
2016-10-20;-5813;-9156;-3248;-8181;-8493;-8682;;-7262;;1805916
2016-10-21;-5813;-6542;-4691;-8181;-8501;-8610;;-7056;;1804880
2016-10-22;-6777;-5732;-4691;-9285;-7268;-8467;;-7037;;1793843
2016-10-23;-5432;-5072;-4691;-8708;-7973;-6231;;-6351;;1775492
2016-10-24;-5250;-5651;-8018;-7730;-7973;-6008;;-6772;;1762560
2016-10-25;-5881;-5651;-7582;-7296;-7973;-6365;;-6791;;1733789
2016-10-26;-5670;-5651;-8831;-8353;-5166;-6878;;-6758;;1727031
2016-10-27;-5670;-6691;-9187;-6067;-4002;-5015;;-6105;;1720926
2016-10-28;-5764;-7309;-8047;-6067;-5741;-5175;;-6350;;1705196
2016-10-29;-5753;-6144;-8333;-4030;-6199;-5318;;-5963;;1694729
2016-10-30;-7193;-7416;-8619;-3936;-4715;-7250;;-6521;;1688208
2016-10-31;-7193;-7011;-8619;-4763;-5001;-7250;;-6639;;1681569
2016-11-01;-5914;-7011;-5105;-4485;-5715;-7542;;-5962;;1824870
2016-11-02;-5893;-7011;-5021;-5196;-5913;-6487;;-5920;;1818950
2016-11-03;-5475;-8152;-3001;-5196;-7057;-5977;;-5810;;1813140
2016-11-04;-5475;-7658;-2978;-5196;-5214;-8292;;-5802;;1790858
2016-11-05;-5381;-7492;-3560;-8254;-3205;-8132;;-6004;;1777004
2016-11-06;-4873;-8190;-3275;-8560;-3670;-8132;;-6117;;1692887
2016-11-07;-3042;-7646;-2989;-7764;-3384;-6799;;-5271;;1683496
2016-11-08;-3737;-7646;-5589;-8295;-2670;-5698;;-5606;;1913434
2016-11-09;-3378;-7646;-5829;-8263;-4630;-6013;;-5960;;1907474
2016-11-10;-3286;-7548;-6794;-8263;-4555;-6147;;-6099;;1901375
2016-11-11;-3286;-7250;-6063;-8263;-5703;-3978;;-5757;;1861888
2016-11-12;-3286;-7799;-6802;-4590;-6557;-4348;;-5564;;1852324
2016-11-13;-1109;-6423;-6802;-4984;-6599;-4348;;-5044;;1835280
2016-11-14;-4113;-6592;-6802;-5189;-6670;-4519;;-5647;;1829633
2016-11-15;-5910;-6592;-5637;-6089;-6670;-7838;;-6456;;1792637
2016-11-16;-6463;-6592;-6013;-5007;-5809;-8793;;-6446;;1786191
2016-11-17;-6833;-3500;-6063;-5007;-6648;-9119;;-6195;;1779996
2016-10-18;-6611;-6833;-3948;-7485;-5007;-6247;;-6022;;1798994
2016-10-19;-5813;-6833;-4174;-5896;-8757;-6825;;-6383;;1781611
2016-10-20;-5813;-9156;-3248;-8181;-8493;-8682;;-7262;;1774189
2016-10-21;-5813;-6542;-4691;-8181;-8501;-8610;;-7056;;1776133
2016-10-22;-6777;-5732;-4691;-9285;-7268;-8467;;-7037;;1766116
